emp_id,firstname,lastname,startdate,exitdate,title,supervisor,businessunit,employeestatus,employeetype,payzone,employeeclassificationtype,terminationdescription,departmenttype,division,dob,state,jobfunctiondescription,gendercode,locationcode,racedesc,maritaldesc,performance_score,current_rating,is_active
3437,Myriam,Givens,2023-08-04,,Area Sales Manager,Troy White,SVG,Active,Contract,Zone B,Temporary,Active,Sales,Field Operations,,IN,Technician,Female,46204,Other,Single,Fully Meets,5,True
3438,Dheepa,Nguyen,2018-08-10,2019-11-04,Area Sales Manager,Brian Miller,MSC,Active,Full-Time,Zone C,Temporary,Alone once than. More condition pay far.,Sales,General - Con,,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,False
3439,Bartholemew,Khemmich,2022-05-25,2022-11-27,Area Sales Manager,Charles Parks,EW,Active,Full-Time,Zone A,Temporary,Foot in theory minute recognize test.,Sales,Splicing,,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,False
3440,Xana,Potts,2019-12-05,2023-02-17,Area Sales Manager,Gregory Walker,CCDR,Active,Contract,Zone A,Full-Time,Degree wish science when thing week old.,Sales,Finance & Accounting,,KY,Controller,Female,40220,White,Divorced,Fully Meets,3,False
3441,Prater,Jeremy,2019-04-28,,Area Sales Manager,Tyler Lewis,BPC,Active,Part-Time,Zone A,Part-Time,Active,Sales,General - Con,,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4,True
3442,Kaylah,Moon,2019-07-09,2022-06-16,Area Sales Manager,Ashley Scott,PYZ,Active,Full-Time,Zone A,Full-Time,Fear particular method stage.,IT/IS,Field Operations,,MA,Laborer,Male,2810,Black,Single,Exceeds,2,False
3443,Kristen,Tate,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,WBL,Active,Full-Time,Zone C,Part-Time,Wall body wonder successful.,IT/IS,Project Management - Con,,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,False
3444,Bobby,Rodgers,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,NEL,Active,Contract,Zone A,Part-Time,Visit foot nearly radio treatment.,Sales,Engineers,,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,False
3445,Reid,Park,2021-01-16,,Area Sales Manager,Michelle Mitchell,PL,Active,Contract,Zone C,Full-Time,Active,Sales,Project Management - Con,,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,True
3446,Hector,Dalton,2021-08-24,,Area Sales Manager,Sydney French,BPC,Active,Part-Time,Zone A,Part-Time,Active,Sales,Field Operations,,TX,Driller,Female,16325,White,Divorced,Exceeds,2,True
3447,Mariela,Schultz,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans MD,CCDR,Future Start,Part-Time,Zone C,Part-Time,Unit pass office southern break one.,Sales,General - Con,,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,False
3448,Angela,Molina,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,SVG,Future Start,Full-Time,Zone A,Temporary,List class mind.,Sales,Engineers,,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,False
3449,Gerald,Preston,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,EW,Future Start,Contract,Zone B,Temporary,Price third parent evening.,Sales,General - Eng,,CO,Technician,Male,5168,Black,Single,Fully Meets,5,False
3450,Reilly,Moyer,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,MSC,Active,Contract,Zone C,Temporary,Cause military a sense. Doctor property may.,Sales,Field Operations,,CO,Operator,Male,11765,Other,Single,Exceeds,2,False
3451,Carlee,French,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,TNS,Active,Contract,Zone C,Full-Time,Station another son positive.,Sales,General - Con,,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,False
3452,Jaydon,Blackburn,2022-11-08,,Area Sales Manager,Debbie Crosby,PYZ,Active,Part-Time,Zone A,Part-Time,Active,Sales,General - Con,,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,True
3453,Bridger,Carter,2022-10-13,,Area Sales Manager,Elizabeth Taylor,WBL,Active,Contract,Zone C,Part-Time,Active,Sales,Fielders,,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,True
3454,Leon,Beard,2022-09-11,,Area Sales Manager,Brian Dunlap,PYZ,Active,Full-Time,Zone C,Full-Time,Active,IT/IS,General - Con,,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,True
3455,Charity,Miranda,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,WBL,Active,Full-Time,Zone C,Temporary,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,False
3456,Axel,Howe,2023-03-06,,Area Sales Manager,Martin Hammond,NEL,Active,Full-Time,Zone A,Temporary,Active,Sales,Field Operations,,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,True
3457,Milton,Wall,2020-09-25,,Area Sales Manager,Sara Bell,PL,Active,Full-Time,Zone B,Temporary,Active,Sales,Engineers,,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,True
3458,Cory,Robinson,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,BPC,Future Start,Contract,Zone A,Full-Time,Several young whether that expert.,Sales,Field Operations,,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,False
3459,Saniya,Yu,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,CCDR,Future Start,Part-Time,Zone A,Full-Time,Science end approach democratic treatment.,Sales,General - Con,,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,False
3460,Alisa,James,2020-02-19,,Area Sales Manager,Dennis Henderson,SVG,Active,Full-Time,Zone A,Full-Time,Active,Sales,Aerial,,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,True
3461,Lincoln,Compton,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Base scene central unit per argue. Might last of.,Sales,General - Con,,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,False
3462,Aliana,Nolan,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,MSC,Active,Contract,Zone A,Full-Time,Yourself book budget product.,Sales,Field Operations,,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,False
3463,Kayden,Dodson,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Paper can score else investment.,Sales,Field Operations,,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,False
3464,James,Duke,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,PYZ,Active,Contract,Zone B,Full-Time,Stuff different color how.,Sales,Shop (Fleet),,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,False
3465,Willow,Stuart,2021-11-08,,Area Sales Manager,Elizabeth Tapia,WBL,Active,Full-Time,Zone B,Full-Time,Active,Sales,General - Con,,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,True
3466,Clayton,Walker,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,PYZ,Active,Part-Time,Zone C,Full-Time,Sign figure employee card education.,IT/IS,Aerial,,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,False
3467,Celia,Curtis,2020-05-06,,Area Sales Manager,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Active,Sales,Fielders,,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,True
3468,Valentin,Reilly,2019-09-09,,Area Sales Manager,Andres Parker,NEL,Active,Contract,Zone B,Temporary,Active,Sales,Wireline Construction,,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,True
3469,Ryland,Shepherd,2020-07-29,2023-01-05,Area Sales Manager,James Berry,PL,Future Start,Contract,Zone B,Full-Time,Right cut matter arrive difference.,Sales,Field Operations,,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,False
3470,Esteban,Gilbert,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,BPC,Future Start,Contract,Zone C,Part-Time,Speak professor statement result.,Sales,Field Operations,,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,False
3471,Jonathan,Adkins,2020-02-29,,Area Sales Manager,John Marshall,CCDR,Active,Part-Time,Zone C,Temporary,Active,Sales,Field Operations,,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,True
3472,Nevaeh,Soto,2023-01-15,,Area Sales Manager,Jessica Chang,SVG,Active,Contract,Zone C,Full-Time,Active,Sales,Project Management - Con,,TX,Director,Male,74124,Other,Married,Exceeds,4,True
3473,Chaim,Mata,2023-06-29,,Area Sales Manager,Desiree Vang,EW,Active,Part-Time,Zone A,Temporary,Active,Sales,Shop (Fleet),,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,True
3474,Arely,Patton,2020-03-09,,Area Sales Manager,Andrew Goodman,MSC,Active,Full-Time,Zone A,Temporary,Active,Sales,Catv,,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,True
3475,Vance,Trujillo,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,TNS,Active,Full-Time,Zone C,Temporary,Expert challenge education air none money wide.,Sales,General - Con,,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,False
3476,Charlie,Koch,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,PYZ,Active,Part-Time,Zone A,Temporary,Buy become improve guess business know.,Sales,Fielders,,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,False
3477,Sonny,Horne,2019-04-07,,Area Sales Manager,Nancy Johnson,PYZ,Active,Part-Time,Zone A,Full-Time,Active,IT/IS,Aerial,,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,True
3478,Thomas,Chandler,2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,WBL,Active,Full-Time,Zone C,Temporary,Read family dark scene scene guess.,Sales,Wireline Construction,,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,False
3479,Sarai,Stone,2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,NEL,Active,Contract,Zone A,Part-Time,Somebody great could yet.,Sales,Project Management - Con,,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,False
3480,Jerimiah,Harmon,2022-09-08,2022-10-16,Area Sales Manager,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,View vote contain within fight cup party war.,Sales,Catv,,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,False
3481,Leland,Allen,2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,BPC,Future Start,Full-Time,Zone C,Part-Time,Buy house certain wrong research chair.,Sales,Wireline Construction,,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,False
3482,Cristal,Bolton,2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,CCDR,Future Start,Full-Time,Zone A,Temporary,Miss onto none our discussion year.,Sales,Catv,,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,False
3483,Jaslene,Harding,2021-09-26,,Area Sales Manager,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Active,Sales,Project Management - Con,,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,True
3484,Albert,Gonzalez,2018-08-29,,Area Sales Manager,Amber Hernandez,EW,Active,Part-Time,Zone B,Full-Time,Active,Sales,General - Con,,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4,True
3485,Jaiden,Johnson,2021-10-26,,Area Sales Manager,Patricia Smith,MSC,Active,Contract,Zone C,Full-Time,Active,Sales,Field Operations,,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5,True
3486,Brendon,Mcconnell,2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,TNS,Active,Part-Time,Zone C,Temporary,Nature finish modern push former American.,Sales,Fielders,,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4,False
3487,Kimora,Parsons,2023-03-15,,Area Sales Manager,Jesse Hunt,BPC,Active,Contract,Zone B,Part-Time,Active,Sales,General - Sga,,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4,True
3488,Willie,Patterson,2022-09-09,,Area Sales Manager,Shane Jones,CCDR,Active,Contract,Zone B,Full-Time,Active,Sales,Wireline Construction,,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2,True
3489,Devyn,Powers,2022-03-04,,Area Sales Manager,Jessica Murphy,EW,Active,Part-Time,Zone A,Temporary,Active,Sales,Field Operations,,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2,True
3490,Weston,Preston,2019-02-11,,Area Sales Manager,Crystal Wallace,MSC,Active,Part-Time,Zone A,Part-Time,Active,Sales,General - Sga,,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,True
3491,Lennon,Buchanan,2021-01-26,,Area Sales Manager,Tina Nelson,NEL,Active,Contract,Zone B,Full-Time,Active,Sales,Field Operations,,TX,Driver,Male,39504,White,Widowed,Fully Meets,5,True
3492,Vicente,Merritt,2019-11-26,,Area Sales Manager,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Active,Sales,General - Con,,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1,True
3493,Hugo,Clay,2019-07-15,,Area Sales Manager,Eric Taylor,PYZ,Active,Full-Time,Zone C,Full-Time,Active,Sales,Project Management - Con,,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5,True
3494,Cohen,Raymond,2020-06-18,,Area Sales Manager,Jacob Snyder,SVG,Active,Contract,Zone B,Full-Time,Active,Sales,General - Con,,CO,Technician,Male,90983,Black,Single,Fully Meets,4,True
3495,Tia,Ellis,2023-06-22,2023-07-22,Area Sales Manager,Daniel Cabrera,TNS,Active,Part-Time,Zone B,Temporary,Night company image able suggest.,Sales,Wireline Construction,,IN,Laborer,Male,1115,Other,Married,Fully Meets,4,False
3496,Aspen,Bentley,2021-12-02,,Area Sales Manager,Barbara Garcia,WBL,Active,Contract,Zone A,Part-Time,Active,Sales,General - Sga,,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5,True
3497,Graham,Rodriguez,2021-12-08,,Area Sales Manager,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Active,Sales,Project Management - Con,,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1,True
3498,Joel,Mcmillan,2023-04-26,2023-06-22,Area Sales Manager,Peter Harvey,PYZ,Active,Full-Time,Zone A,Full-Time,About allow article. For gas player magazine.,Sales,General - Sga,,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2,False
3499,Maci,Frost,2018-09-25,2021-12-20,Area Sales Manager,Patrick Daniel,WBL,Active,Part-Time,Zone C,Temporary,Seem hand dog. Us six beyond place fund well.,Sales,Field Operations,,KY,Technician,Female,61457,Asian,Widowed,Fully Meets,5,False
3500,Nevaeh,Lucas,2018-11-20,2020-06-21,Area Sales Manager,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Game hour boy not write somebody owner.,Sales,Shop (Fleet),,TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1,False
3501,Garrett,Zimmerman,2020-08-30,2022-08-30,Area Sales Manager,Destiny Hopkins,PL,Future Start,Part-Time,Zone A,Part-Time,Worker medical commercial participant tough leg.,Sales,General - Con,,TX,Technician,Male,6240,Other,Widowed,Fully Meets,4,False
3502,Eugene,Marks,2019-10-01,,Area Sales Manager,Angela Morris,BPC,Active,Full-Time,Zone C,Temporary,Active,Sales,Splicing,,TX,Electrician,Male,49914,White,Married,Fully Meets,1,True
3503,Geovanni,Pugh,2022-01-20,,Area Sales Manager,Erica Franklin,CCDR,Active,Part-Time,Zone A,Temporary,Active,Sales,Project Management - Con,,CO,Manager,Male,71319,Other,Single,Fully Meets,4,True
3504,Javon,Kelley,2021-10-10,,Area Sales Manager,Gabriela Orr,SVG,Active,Full-Time,Zone B,Part-Time,Active,Sales,General - Con,,CO,Laborer,Male,27992,Hispanic,Married,Fully Meets,2,True
3505,Amaya,Hicks,2020-08-29,,Area Sales Manager,Michael Wilkins,EW,Active,Contract,Zone B,Temporary,Active,Sales,Field Operations,,IN,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1,True
3506,Laila,Woodard,2019-08-27,2023-05-10,Area Sales Manager,Jordan Vega,MSC,Active,Full-Time,Zone B,Temporary,Fund nor half early miss follow.,Sales,Field Operations,,IN,Technician,Male,38740,Other,Married,Fully Meets,2,False
3507,Ivan,Huff,2021-02-25,2023-04-07,Area Sales Manager,John Miller,TNS,Active,Full-Time,Zone A,Full-Time,Line later deal stand sometimes too mind.,Sales,Project Management - Con,,CA,Manager,Male,9437,White,Single,Fully Meets,4,False
3508,Aidan,Harding,2021-07-13,,Area Sales Manager,Trevor Adkins,CCDR,Active,Full-Time,Zone B,Part-Time,Active,Sales,Aerial,,OR,Laborer,Male,9385,Asian,Single,Fully Meets,5,True
3509,Cruz,Boyer,2021-04-14,,Area Sales Manager,Marcus Hunt,BPC,Active,Part-Time,Zone C,Full-Time,Active,Sales,General - Sga,,KY,Project Controls,Female,75993,Black,Married,Fully Meets,2,True
3510,Raven,Koch,2020-02-10,,Area Sales Manager,Jennifer King,PYZ,Active,Part-Time,Zone A,Full-Time,Active,Sales,General - Con,,KY,Laborer,Female,65329,Hispanic,Married,Fully Meets,2,True
3511,Karli,Barker,2021-08-17,2021-12-31,Area Sales Manager,Shawn Dudley,WBL,Active,Part-Time,Zone B,Full-Time,Tell paper every.,Sales,Finance & Accounting,,KY,Director,Female,41111,Asian,Divorced,Fully Meets,4,False
3512,Tyrone,Sosa,2023-04-17,2023-06-22,Area Sales Manager,Lindsay Chang,NEL,Future Start,Contract,Zone C,Temporary,Why sport must page bad.,Sales,Yard (Material Handling),,TX,Coordinator,Female,58860,Black,Single,Fully Meets,2,False
3513,Damaris,Cisneros,2022-09-02,2023-05-24,Area Sales Manager,Sharon Ruiz,PL,Future Start,Contract,Zone C,Temporary,Something sense information final building.,Sales,General - Con,,TX,Laborer,Male,93051,Other,Married,Fully Meets,5,False
3514,Alexus,Estes,2020-04-15,,Area Sales Manager,April Randolph,BPC,Active,Full-Time,Zone B,Part-Time,Active,Sales,Wireline Construction,,TX,Manager,Male,17419,Asian,Married,Fully Meets,1,True
3515,Kinsley,Flowers,2022-03-09,2022-12-10,Area Sales Manager,Mary Reilly,CCDR,Future Start,Part-Time,Zone A,Part-Time,School see rest firm I.,Sales,Finance & Accounting,,CO,Controller,Male,59593,White,Single,Fully Meets,4,False
3516,Deborah,Love,2022-04-07,2023-01-22,Area Sales Manager,Eric Goodman,SVG,Active,Contract,Zone B,Part-Time,Source doctor rock group this.,Sales,Project Management - Con,,CO,Coordinator,Male,96350,Asian,Divorced,Fully Meets,5,False
3517,Milagros,Francis,2020-02-19,,Area Sales Manager,Caleb Schneider,EW,Active,Part-Time,Zone A,Part-Time,Active,Sales,Splicing,,IN,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4,True
3518,Roberto,Michael,2021-04-10,2022-07-04,Area Sales Manager,Cheryl Henry,MSC,Active,Contract,Zone B,Part-Time,Little imagine career he produce program.,Sales,General - Eng,,CA,Coordinator,Female,13249,Hispanic,Married,Fully Meets,2,False
3519,Elaine,Ewing,2021-12-19,2022-03-02,Area Sales Manager,Dan Hernandez,TNS,Active,Part-Time,Zone C,Temporary,Your very trip successful memory to while out.,Sales,Aerial,,CA,Groundman,Male,17123,Hispanic,Widowed,Fully Meets,2,False
3520,Caiden,Munoz,2020-12-13,2023-01-13,Area Sales Manager,Teresa Daniel,TNS,Active,Full-Time,Zone C,Temporary,Red some option.,Sales,Project Management - Con,,ND,Manager,Female,18983,Black,Divorced,Fully Meets,1,False
3521,Jocelyn,Bradford,2019-02-26,,Area Sales Manager,Melissa Decker,WBL,Active,Contract,Zone C,Part-Time,Active,Sales,General - Con,,KY,Electrician,Female,51795,Asian,Divorced,Fully Meets,4,True
3522,Marques,Armstrong,2020-03-02,,Area Sales Manager,Michael Nguyen,BPC,Active,Full-Time,Zone C,Part-Time,Active,Sales,Splicing,,KY,Splicer,Female,34369,Other,Single,Fully Meets,1,True
3523,Rohan,Chapman,2021-06-25,2022-08-25,Area Sales Manager,Tony Mcconnell,CCDR,Active,Full-Time,Zone A,Temporary,Theory grow future week house.,Sales,General - Con,,KY,Laborer,Female,23092,Other,Single,Fully Meets,2,False
3524,Emmanuel,Franklin,2021-07-26,2022-05-04,Area Sales Manager,Adam Gibson,EW,Future Start,Contract,Zone B,Full-Time,Inside week also so.,Sales,Field Operations,,TX,Laborer,Male,6074,Asian,Divorced,Fully Meets,2,False
3525,Clayton,Mccormick,2022-07-03,2023-01-10,Area Sales Manager,Stephanie Duke,MSC,Future Start,Contract,Zone B,Temporary,Surface vote old picture.,Sales,General - Con,,TX,Foreman,Male,72264,Hispanic,Single,Fully Meets,2,False
3526,Darius,Krause,2022-09-15,,Area Sales Manager,Paige Flores MD,NEL,Active,Full-Time,Zone B,Full-Time,Active,Sales,General - Con,,TX,Foreman,Male,28282,White,Widowed,Fully Meets,4,True
3527,Ahmed,Hawkins,2020-05-01,2021-02-25,Area Sales Manager,Hannah Snyder,PL,Active,Full-Time,Zone B,Temporary,Especially thing recognize year fine shoulder.,Sales,Aerial,,CO,Lineman,Male,46645,Black,Married,Fully Meets,1,False
3528,Kymani,Benjamin,2022-10-13,,Area Sales Manager,William Ayala,PYZ,Active,Full-Time,Zone C,Part-Time,Active,Sales,Finance & Accounting,,CO,Accounting,Male,10790,Hispanic,Widowed,Fully Meets,2,True
3529,Callum,Mcdaniel,2020-01-03,2020-08-24,Area Sales Manager,Samuel Moore,SVG,Active,Part-Time,Zone C,Full-Time,Camera spring color about energy provide claim.,Sales,Field Operations,,IN,Top Hand,Male,67282,Hispanic,Single,Fully Meets,2,False
3530,Zariah,Black,2019-11-13,,Area Sales Manager,Jenna Weaver,TNS,Active,Full-Time,Zone B,Part-Time,Active,Sales,Field Operations,,CA,Tower Hand,Female,62321,Black,Widowed,Fully Meets,2,True
3531,Ronnie,Mayer,2023-06-17,,Area Sales Manager,Dylan Blake,WBL,Active,Full-Time,Zone C,Full-Time,Active,Sales,Project Management - Con,,CA,Project Manager,Male,18409,Black,Divorced,Fully Meets,1,True
3532,Marlon,Ford,2021-10-14,,Area Sales Manager,Monique Anderson,EW,Active,Part-Time,Zone B,Full-Time,Active,IT/IS,Wireless,,OR,Technician,Female,40306,Black,Widowed,Fully Meets,1,True
3533,Slade,Griffith,2021-06-01,2023-07-16,Area Sales Manager,Kelsey Gibson,MSC,Active,Contract,Zone B,Full-Time,Pass language out side age evidence.,Sales,General - Sga,,ND,Administrator,Male,65183,White,Married,Fully Meets,2,False
3534,Lee,Frye,2018-09-14,,Area Sales Manager,Sonia Diaz,TNS,Active,Full-Time,Zone A,Full-Time,Active,Sales,Engineers,,KY,Engineer,Female,97002,Asian,Single,Fully Meets,4,True
3535,Veronica,Rowe,2018-12-11,2022-06-02,Area Sales Manager,Brian Morton,PYZ,Active,Full-Time,Zone A,Temporary,Popular west moment natural step activity.,Sales,Fielders,,KY,Engineer,Female,29811,Black,Single,Fully Meets,4,False
3536,Aylin,Berg,2022-08-06,,Area Sales Manager,Thomas Holmes,WBL,Active,Contract,Zone C,Temporary,Active,Sales,General - Sga,,GA,Administrative,Female,89169,Black,Single,Fully Meets,2,True
3537,Neveah,Rowe,2022-05-28,2023-02-24,Area Sales Manager,Dawn Perez,NEL,Future Start,Contract,Zone C,Part-Time,Manager lead both sing.,Sales,Field Operations,,TX,Foreman,Male,63882,Hispanic,Married,Fully Meets,2,False
3538,Keith,Baxter,2019-06-16,2022-03-05,Area Sales Manager,Diane Parker,PL,Future Start,Part-Time,Zone C,Part-Time,And after why station much cell low.,Sales,Fielders,,TX,Engineer,Male,62328,Asian,Widowed,Fully Meets,2,False
3539,Chaz,Bruce,2019-12-08,,Area Sales Manager,John Johnson,BPC,Active,Full-Time,Zone C,Temporary,Active,Sales,General - Con,,CO,Foreman,Male,74448,Hispanic,Single,Fully Meets,5,True
3540,Maya,Mccann,2020-03-12,2022-10-09,Area Sales Manager,Dakota Robinson,CCDR,Active,Full-Time,Zone B,Part-Time,American rule surface very figure.,Sales,Splicing,,CO,Supervisor,Male,18721,White,Widowed,Exceeds,4,False
3541,Aaron,Weber,2020-04-06,2023-07-24,Area Sales Manager,Melanie Garcia,SVG,Active,Full-Time,Zone B,Full-Time,Read stand western white article campaign dog.,Sales,Field Operations,,IN,Technician,Male,78938,Black,Married,Exceeds,2,False
3542,Ellie,Gill,2023-04-15,,Area Sales Manager,Amanda Knight,EW,Active,Contract,Zone A,Temporary,Active,Sales,Field Operations,,IN,Manager,Male,45456,White,Married,Needs Improvement,1,True
3543,Rayne,Kerr,2020-11-10,,Area Sales Manager,Kimberly Cardenas,MSC,Active,Part-Time,Zone A,Temporary,Active,Sales,General - Con,,CA,Laborer,Female,45509,Black,Single,Fully Meets,2,True
3544,Samara,Mcbride,2023-06-29,2023-07-09,Area Sales Manager,Laura Salinas,TNS,Active,Contract,Zone A,Temporary,Political likely land country.,Sales,Aerial,,CA,Foreman,Male,13902,Asian,Single,Fully Meets,2,False
3545,Ryann,Rubio,2022-03-07,,Area Sales Manager,Andres Jones,EW,Active,Full-Time,Zone C,Temporary,Active,IT/IS,Field Operations,,OR,Locator,Female,9733,Black,Widowed,Fully Meets,1,True
